Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
1,1,1,-1,large,True,50,1,Yes,13.33,26.5,-13.17,-3.17,
1,1,2,-1,small,False,24.25,5,No,13.33,,0,-3.17,
1,2,1,-1,large,True,26.5,2,No,25.3,,0,10,
1,2,2,-1,small,False,25.25,4,No,25.3,,0,10,
1,3,1,-1,large,True,19.75,5,No,11.63,,0,10,
1,3,1,-1,small,False,9.5,3,No,11.63,,0,10,
1,4,-1,1,large,True,,,No,0,,0,10,
1,4,-1,2,small,False,,,No,0,,0,10,
1,5,1,-1,large,True,22.25,4,No,24.32,,0,10,
1,5,2,-1,small,False,50,1,Yes,24.32,30.25,-5.93,10,
1,6,-1,1,large,True,,,No,0,,0,10,
1,6,-1,2,small,False,,,No,0,,0,10,
1,7,-1,1,large,True,,,No,0,,0,10,
1,7,-1,2,small,False,,,No,0,,0,10,
1,8,1,-1,large,True,8.25,8,No,7.05,,0,10,
1,8,2,-1,small,False,27,3,No,7.05,,0,10,
1,9,1,-1,large,True,25.25,3,No,24.58,,0,10,
1,9,1,-1,small,False,50,1,Yes,24.58,16.5,8.08,10,
1,10,1,-1,large,True,15.5,7,No,16.55,,0,10,
1,10,1,-1,small,False,16.5,2,No,16.55,,0,10,
1,11,1,-1,large,True,15.5,6,No,12.37,,0,10,
1,11,2,-1,small,False,30.25,2,No,12.37,,0,10,
1,12,-1,1,large,True,,,No,0,,0,10,
1,12,-1,2,small,False,,,No,0,,0,10,
1,13,1,-1,large,True,4.25,9,No,5.78,,0,10,
1,13,1,-1,small,False,8,4,No,5.78,,0,10,
1,14,1,-1,large,True,4.25,10,No,2.98,,0,10,
1,14,1,-1,small,False,2.5,5,No,2.98,,0,10,
