Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
1,1,1,-1,large,True,50,1,Yes,13.33,2.5,10.83,20.83,
1,1,1,-1,small,False,1.25,2,No,13.33,,0,20.83,
1,2,1,-1,large,True,2.5,2,No,25.3,,0,10,
1,2,1,-1,small,False,50,1,Yes,25.3,1.25,24.05,10,
2,1,1,-1,large,False,3.75,2,No,12.52,,0,31.1,
2,1,1,-1,small,True,50,1,Yes,12.52,2.25,10.27,31.1,
2,2,1,-1,large,False,50,1,Yes,12.86,3.75,9.11,10,
2,2,1,-1,small,True,2.25,2,No,12.86,,0,10,
3,1,1,-1,large,False,5.5,2,No,5.24,,0,32.34,
3,1,1,-1,small,True,50,1,Yes,5.24,4,1.24,32.34,
3,2,1,-1,large,False,50,1,Yes,6.4,5.5,0.9,10,
3,2,1,-1,small,True,4,2,No,6.4,,0,10,
