Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
2,13,1,-1,small,False,8.25,5,No,9.71,,0,10,
2,14,1,-1,large,True,14.75,4,No,16.34,,0,10,
2,14,1,-1,small,False,15.75,3,No,16.34,,0,10,
3,1,-1,1,large,True,,,No,0,,0,10,
3,1,-1,2,small,False,,,No,0,,0,10,
3,2,1,-1,large,True,4,8,No,5.24,,0,10,
3,2,2,-1,small,False,2.75,5,No,5.24,,0,10,
3,3,-1,1,large,True,,,No,0,,0,10,
3,3,-1,2,small,False,,,No,0,,0,10,
3,4,1,-1,large,True,0.5,10,No,0.27,,0,10,
3,4,1,-1,small,False,0.25,5,No,0.27,,0,10,
3,5,1,-1,large,True,9.75,6,No,10.94,,0,10,
3,5,1,-1,small,False,11.75,3,No,10.94,,0,10,
3,6,-1,1,large,True,,,No,0,,0,10,
3,6,-1,2,small,False,,,No,0,,0,10,
3,7,1,-1,large,True,23.75,2,No,25.81,,0,12.8,
3,7,1,-1,small,False,50,1,Yes,25.81,20.25,5.56,12.8,
3,8,1,-1,large,True,19,3,No,21.64,,0,10,
3,8,1,-1,small,False,20.25,2,No,21.64,,0,10,
3,9,1,-1,large,True,10.75,5,No,12.28,,0,19.02,
3,9,2,-1,small,False,9.5,3,No,12.28,,0,19.02,
3,10,-1,1,large,True,,,No,0,,0,10,
3,10,-1,2,small,False,,,No,0,,0,10,
3,11,1,-1,large,True,3.5,9,No,2.48,,0,10,
3,11,1,-1,small,False,2.25,4,No,2.48,,0,10,
3,12,1,-1,large,True,15.5,4,No,17.95,,0,10,
3,12,2,-1,small,False,16.75,2,No,17.95,,0,10,
3,13,1,-1,large,True,8,7,No,6.4,,0,10,
3,13,2,-1,small,False,5.25,4,No,6.4,,0,10,
3,14,1,-1,large,True,50,1,Yes,25.07,23.75,1.32,11.32,
3,14,2,-1,small,False,50,1,Yes,25.07,16.75,8.32,11.32,
4,1,1,-1,large,True,20.25,2,No,17.36,,0,10,
4,1,1,-1,small,False,15.75,3,No,17.36,,0,10,
4,2,1,-1,large,True,50,1,Yes,22.19,20.25,1.94,11.94,
4,2,1,-1,small,False,50,1,Yes,22.19,18,4.19,11.94,
4,3,1,-1,large,True,12.75,6,No,7.06,,0,10,
4,3,2,-1,small,False,4.5,3,No,7.06,,0,10,
4,4,-1,1,large,True,,,No,0,,0,10,
4,4,-1,2,small,False,,,No,0,,0,10,
4,5,1,-1,large,True,8,8,No,10.41,,0,10,
4,5,1,-1,small,False,8.5,5,No,10.41,,0,10,
4,6,1,-1,large,True,20.25,3,No,16.83,,0,10,
4,6,1,-1,small,False,15.25,4,No,16.83,,0,10,
4,7,1,-1,large,True,1,9,No,3.43,,0,12.8,
4,7,2,-1,small,False,1.5,5,No,3.43,,0,12.8,
4,8,1,-1,large,True,14,5,No,16.1,,0,10,
4,8,2,-1,small,False,50,1,Yes,16.1,9.25,6.85,10,
4,9,1,-1,large,True,8.75,7,No,10.08,,0,19.02,
4,9,2,-1,small,False,9.25,2,No,10.08,,0,19.02,
4,10,-1,1,large,True,,,No,0,,0,10,
4,10,-1,2,small,False,,,No,0,,0,10,
4,11,1,-1,large,True,18,4,No,19.1,,0,10,
4,11,1,-1,small,False,18,2,No,19.1,,0,10,
4,12,-1,1,large,True,,,No,0,,0,10,
4,12,-1,2,small,False,,,No,0,,0,10,
4,13,-1,1,large,True,,,No,0,,0,10,
4,13,-1,2,small,False,,,No,0,,0,10,
4,14,1,-1,large,True,0.75,10,No,0.28,,0,11.32,
4,14,2,-1,small,False,2,4,No,0.28,,0,11.32,
5,1,1,-1,large,False,25,2,No,27.61,,0,14.36,
5,1,1,-1,small,True,50,1,Yes,27.61,23.25,4.36,14.36,
5,2,1,-1,large,False,22.75,4,No,24.54,,0,11.94,
5,2,1,-1,small,True,23.25,2,No,24.54,,0,11.94,
5,3,1,-1,large,False,5,10,No,7.62,,0,10,
5,3,2,-1,small,True,7,5,No,7.62,,0,10,
5,4,1,-1,large,False,11.75,6,No,14.68,,0,10,
5,4,2,-1,small,True,15.25,3,No,14.68,,0,10,
5,5,-1,1,large,False,,,No,0,,0,10,
5,5,-1,2,small,True,,,No,0,,0,10,
5,6,1,-1,large,False,11.25,7,No,14.14,,0,10,
5,6,1,-1,small,True,15.25,3,No,14.14,,0,10,
5,7,-1,1,large,False,,,No,0,,0,12.8,
5,7,-1,2,small,True,,,No,0,,0,12.8,
5,8,-1,1,large,False,,,No,0,,0,10,
5,8,-1,2,small,True,,,No,0,,0,10,
5,9,1,-1,large,False,50,1,Yes,27.62,25,2.62,22.14,
5,9,2,-1,small,True,50,1,Yes,27.62,24.5,3.12,22.14,
5,10,1,-1,large,False,5.75,8,No,5.58,,0,10,
5,10,1,-1,small,True,3.25,5,No,5.58,,0,10,
5,11,1,-1,large,False,23.5,3,No,25.51,,0,10,
5,11,2,-1,small,True,24.5,2,No,25.51,,0,10,
5,12,1,-1,large,False,19.25,5,No,17.62,,0,10,
5,12,2,-1,small,True,15,4,No,17.62,,0,10,
5,13,-1,1,large,False,,,No,0,,0,10,
5,13,-1,2,small,True,,,No,0,,0,10,
5,14,1,-1,large,False,5.5,9,No,5.64,,0,11.32,
5,14,1,-1,small,True,3.25,4,No,5.64,,0,11.32,
6,1,-1,1,large,False,,,No,0,,0,14.36,
6,1,-1,2,small,True,,,No,0,,0,14.36,
6,2,1,-1,large,False,4.5,9,No,6.53,,0,11.94,
6,2,1,-1,small,True,3.75,4,No,6.53,,0,11.94,
6,3,1,-1,large,False,12.75,6,No,14.86,,0,10,
6,3,2,-1,small,True,13.25,3,No,14.86,,0,10,
6,4,-1,1,large,False,,,No,0,,0,10,
6,4,-1,2,small,True,,,No,0,,0,10,
6,5,1,-1,large,False,16.75,4,No,16.8,,0,10,
6,5,1,-1,small,True,15.25,3,No,16.8,,0,10,
6,6,-1,1,large,False,,,No,0,,0,10,
6,6,-1,2,small,True,,,No,0,,0,10,
6,7,1,-1,large,False,50,1,Yes,19.52,22,-2.48,12.8,
6,7,1,-1,small,True,16.75,2,No,19.52,,0,12.8,
6,8,1,-1,large,False,7.25,8,No,6.63,,0,10,
6,8,2,-1,small,True,4.5,5,No,6.63,,0,10,
6,9,-1,1,large,False,,,No,0,,0,22.14,
6,9,-1,2,small,True,,,No,0,,0,22.14,
6,10,1,-1,large,False,22,2,No,22.83,,0,16.08,
6,10,1,-1,small,True,50,1,Yes,22.83,16.75,6.08,16.08,
6,11,1,-1,large,False,1,10,No,1.91,,0,10,
6,11,1,-1,small,True,1.5,5,No,1.91,,0,10,
6,12,1,-1,large,False,9.5,7,No,12.44,,0,10,
6,12,2,-1,small,True,10.5,4,No,12.44,,0,10,
6,13,1,-1,large,False,16,5,No,16.27,,0,10,
6,13,2,-1,small,True,13.5,2,No,16.27,,0,10,
6,14,1,-1,large,False,17.25,3,No,19.01,,0,16.83,
6,14,2,-1,small,True,50,1,Yes,19.01,13.5,5.51,16.83,
7,1,-1,1,large,True,,,No,0,,0,14.36,
7,1,-1,2,small,False,,,No,0,,0,14.36,
7,2,1,-1,large,True,21.75,5,No,24.01,,0,11.94,
7,2,1,-1,small,False,21.5,3,No,24.01,,0,11.94,
7,3,-1,1,large,True,,,No,0,,0,10,
7,3,-1,2,small,False,,,No,0,,0,10,
7,4,1,-1,large,True,19,6,No,21.87,,0,10,
7,4,1,-1,small,False,19.5,4,No,21.87,,0,10,
7,5,1,-1,large,True,9,8,No,9.16,,0,10,
7,5,2,-1,small,False,6.75,4,No,9.16,,0,10,
7,6,1,-1,large,True,23.25,3,No,24.29,,0,10,
7,6,1,-1,small,False,50,1,Yes,24.29,23,1.29,10,
7,7,1,-1,large,True,0.25,10,No,0.27,,0,12.8,
7,7,2,-1,small,False,2.75,5,No,0.27,,0,12.8,
7,8,1,-1,large,True,21.75,4,No,16.05,,0,10,
7,8,2,-1,small,False,13.5,3,No,16.05,,0,10,
7,9,1,-1,large,True,8.25,9,No,10.32,,0,22.14,
7,9,1,-1,small,False,7.5,5,No,10.32,,0,22.14,
7,10,1,-1,large,True,12.25,7,No,15.14,,0,16.08,
7,10,2,-1,small,False,16.25,2,No,15.14,,0,16.08,
7,11,-1,1,large,True,,,No,0,,0,10,
7,11,-1,2,small,False,,,No,0,,0,10,
7,12,1,-1,large,True,50,1,Yes,27.94,23.5,4.44,14.44,
7,12,2,-1,small,False,50,1,Yes,27.94,16.25,11.69,14.44,
7,13,-1,1,large,True,,,No,0,,0,10,
7,13,-1,2,small,False,,,No,0,,0,10,
7,14,1,-1,large,True,23.5,2,No,25.77,,0,16.83,
7,14,1,-1,small,False,23,2,No,25.77,,0,16.83,
8,1,1,-1,large,True,13.25,5,No,15.44,,0,14.36,
8,1,1,-1,small,False,14.5,2,No,15.44,,0,14.36,
8,2,-1,1,large,True,,,No,0,,0,11.94,
8,2,-1,2,small,False,,,No,0,,0,11.94,
8,3,1,-1,large,True,8.25,8,No,9.75,,0,10,
8,3,1,-1,small,False,8.5,3,No,9.75,,0,10,
8,4,-1,1,large,True,,,No,0,,0,10,
8,4,-1,2,small,False,,,No,0,,0,10,
8,5,1,-1,large,True,6.75,10,No,9.51,,0,10,
8,5,1,-1,small,False,7.25,4,No,9.51,,0,10,
8,6,1,-1,large,True,20,4,No,22.32,,0,10,
8,6,2,-1,small,False,21.25,3,No,22.32,,0,10,
8,7,1,-1,large,True,12.5,6,No,11.13,,0,12.8,
8,7,2,-1,small,False,11.25,5,No,11.13,,0,12.8,
8,8,1,-1,large,True,8.75,7,No,10.96,,0,10,
8,8,2,-1,small,False,12.5,4,No,10.96,,0,10,
8,9,1,-1,large,True,8,9,No,7.75,,0,22.14,
8,9,1,-1,small,False,5.75,5,No,7.75,,0,22.14,
8,10,-1,1,large,True,,,No,0,,0,16.08,
8,10,-1,2,small,False,,,No,0,,0,16.08,
8,11,1,-1,large,True,50,1,Yes,25.11,23,2.11,12.11,
8,11,2,-1,small,False,22.5,2,No,25.11,,0,12.11,
8,12,1,-1,large,True,23,2,No,25.21,,0,14.44,
8,12,2,-1,small,False,50,1,Yes,25.21,22.5,2.71,14.44,
8,13,1,-1,large,True,21.5,3,No,21.77,,0,10,
8,13,1,-1,small,False,50,1,Yes,21.77,14.5,7.27,10,
8,14,-1,1,large,True,,,No,0,,0,16.83,
8,14,-1,2,small,False,,,No,0,,0,16.83,
9,1,1,-1,large,True,17,5,No,17.84,,0,14.36,
9,1,1,-1,small,False,21,3,No,17.84,,0,14.36,
9,2,1,-1,large,True,1.75,10,No,4.23,,0,11.94,
9,2,2,-1,small,False,3.25,4,No,4.23,,0,11.94,
9,3,1,-1,large,True,4,8,No,4.38,,0,10,
9,3,2,-1,small,False,4.25,3,No,4.38,,0,10,
9,4,1,-1,large,True,22.5,3,No,21.91,,0,10,
9,4,2,-1,small,False,19.25,2,No,21.91,,0,10,
9,5,1,-1,large,True,50,1,Yes,22.83,22.75,0.0799999999999983,10.08,
9,5,2,-1,small,False,50,1,Yes,22.83,19.25,3.58,10.08,
9,6,1,-1,large,True,22.75,2,No,25.11,,0,10,
9,6,1,-1,small,False,50,1,Yes,25.11,22.75,2.36,10,
9,7,1,-1,large,True,2.75,9,No,0.17,,0,12.8,
9,7,1,-1,small,False,0.5,5,No,0.17,,0,12.8,
9,8,-1,1,large,True,,,No,0,,0,10,
9,8,-1,2,small,False,,,No,0,,0,10,
9,9,-1,1,large,True,,,No,0,,0,22.14,
9,9,-1,2,small,False,,,No,0,,0,22.14,
9,10,1,-1,large,True,16.5,6,No,16.4,,0,16.08,
9,10,1,-1,small,False,22.75,2,No,16.4,,0,16.08,
9,11,1,-1,large,True,5.5,7,No,5.92,,0,12.11,
9,11,2,-1,small,False,3,5,No,5.92,,0,12.11,
9,12,1,-1,large,True,19,4,No,21.31,,0,14.44,
9,12,1,-1,small,False,19,4,No,21.31,,0,14.44,
9,13,-1,1,large,True,,,No,0,,0,10,
9,13,-1,2,small,False,,,No,0,,0,10,
9,14,-1,1,large,True,,,No,0,,0,16.83,
9,14,-1,2,small,False,,,No,0,,0,16.83,
10,1,-1,1,large,True,,,No,0,,0,14.36,
10,1,-1,2,small,False,,,No,0,,0,14.36,
10,2,1,-1,large,True,10.75,5,No,13.06,,0,11.94,
10,2,1,-1,small,False,12.75,3,No,13.06,,0,11.94,
10,3,-1,1,large,True,,,No,0,,0,10,
10,3,-1,2,small,False,,,No,0,,0,10,
10,4,1,-1,large,True,2.75,8,No,3.6,,0,10,
10,4,2,-1,small,False,1,5,No,3.6,,0,10,
10,5,1,-1,large,True,3,7,No,5.94,,0,10.08,
10,5,2,-1,small,False,3.5,3,No,5.94,,0,10.08,
10,6,1,-1,large,True,50,1,Yes,24.26,13.25,11.01,21.01,
10,6,2,-1,small,False,50,1,Yes,24.26,7.25,17.01,21.01,
10,7,-1,1,large,True,,,No,0,,0,12.8,
10,7,-1,2,small,False,,,No,0,,0,12.8,
10,8,-1,1,large,True,,,No,0,,0,10,
10,8,-1,2,small,False,,,No,0,,0,10,
10,9,1,-1,large,True,1.75,10,No,4.66,,0,22.14,
10,9,1,-1,small,False,5.25,5,No,4.66,,0,22.14,
10,10,1,-1,large,True,9.25,6,No,8.17,,0,16.08,
10,10,2,-1,small,False,7.25,2,No,8.17,,0,16.08,
10,11,1,-1,large,True,13.25,2,No,15.3,,0,12.11,
10,11,1,-1,small,False,13,2,No,15.3,,0,12.11,
10,12,1,-1,large,True,2.25,9,No,4.97,,0,14.44,
10,12,2,-1,small,False,2.25,4,No,4.97,,0,14.44,
10,13,1,-1,large,True,12.75,3,No,14.34,,0,10,
10,13,1,-1,small,False,50,1,Yes,14.34,13,1.34,10,
10,14,1,-1,large,True,11,4,No,8.75,,0,16.83,
10,14,1,-1,small,False,7.25,4,No,8.75,,0,16.83,
,
Number,Name,Student ID,Experiment Earnings,Quiz Earnings,Quiz Answer 1,Quiz Result 1,Quiz Answer 2,Quiz Result 2,Quiz Answer 3,Quiz Result 3,Quiz Answer 4,Quiz Result 4,Quiz Answer 5,Quiz Result 5,
1,Instruction Robot 1,68571,$14.36,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
2,Instruction Robot 2,81294,$11.94,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
3,Instruction Robot 3,59225,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
4,Instruction Robot 4,63263,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
5,Instruction Robot 5,61692,$10.08,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
6,Instruction Robot 6,30494,$21.01,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
7,Instruction Robot 7,7441,$12.80,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
8,Instruction Robot 8,88392,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
9,Instruction Robot 9,81158,$22.14,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
10,Instruction Robot 10,48306,$16.08,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
11,Instruction Robot 11,40171,$12.11,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
12,Instruction Robot 12,12964,$14.44,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
13,Instruction Robot 13,82000,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
14,Instruction Robot 14,79662,$16.83,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
