Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
1,1,1,-1,large,True,9.5,7,No,11.63,,0,10,
1,1,1,-1,small,False,3.25,3,No,11.63,,0,10,
1,2,-1,1,large,True,,,No,0,,0,10,
1,2,-1,2,small,False,,,No,0,,0,10,
1,3,1,-1,large,True,21.5,3,No,24.32,,0,10,
1,3,2,-1,small,False,21.5,2,No,24.32,,0,10,
1,4,1,-1,large,True,10.75,6,No,12.37,,0,10,
1,4,2,-1,small,False,9.75,4,No,12.37,,0,10,
1,5,1,-1,large,True,8.75,8,No,2.98,,0,10,
1,5,1,-1,small,False,0.5,5,No,2.98,,0,10,
1,6,1,-1,large,True,5,10,No,7.05,,0,10,
1,6,2,-1,small,False,4.5,5,No,7.05,,0,10,
1,7,1,-1,large,True,50,1,Yes,25.3,22.5,2.8,12.8,
1,7,2,-1,small,False,50,1,Yes,25.3,21.5,3.8,12.8,
1,8,-1,1,large,True,,,No,0,,0,10,
1,8,-1,2,small,False,,,No,0,,0,10,
1,9,1,-1,large,True,14.25,5,No,13.33,,0,10,
1,9,2,-1,small,False,13,3,No,13.33,,0,10,
1,10,1,-1,large,True,7,9,No,5.78,,0,10,
1,10,1,-1,small,False,3,4,No,5.78,,0,10,
1,11,1,-1,large,True,14.75,4,No,16.55,,0,10,
1,11,1,-1,small,False,14,2,No,16.55,,0,10,
1,12,1,-1,large,True,22.5,2,No,24.58,,0,10,
1,12,1,-1,small,False,50,1,Yes,24.58,14,10.58,10,
1,13,-1,1,large,True,,,No,0,,0,10,
1,13,-1,2,small,False,,,No,0,,0,10,
1,14,-1,1,large,True,,,No,0,,0,10,
1,14,-1,2,small,False,,,No,0,,0,10,
2,1,1,-1,large,True,2.25,10,No,12.86,,0,10,
2,1,2,-1,small,False,10.25,4,No,12.86,,0,10,
2,2,1,-1,large,True,7,9,No,7.46,,0,10,
2,2,2,-1,small,False,4.5,5,No,7.46,,0,10,
2,3,-1,1,large,True,,,No,0,,0,10,
2,3,-1,2,small,False,,,No,0,,0,10,
2,4,-1,1,large,True,,,No,0,,0,10,
2,4,-1,2,small,False,,,No,0,,0,10,
2,5,1,-1,large,True,13,6,No,15.24,,0,10,
2,5,2,-1,small,False,14.25,2,No,15.24,,0,10,
2,6,1,-1,large,True,14.5,5,No,17.1,,0,10,
2,6,1,-1,small,False,15.5,4,No,17.1,,0,10,
2,7,-1,1,large,True,,,No,0,,0,12.8,
2,7,-1,2,small,False,,,No,0,,0,12.8,
2,8,-1,1,large,True,,,No,0,,0,10,
2,8,-1,2,small,False,,,No,0,,0,10,
2,9,1,-1,large,True,50,1,Yes,28.27,19.25,9.02,19.02,
2,9,1,-1,small,False,50,1,Yes,28.27,19.75,8.52,19.02,
2,10,1,-1,large,True,19.25,2,No,18.58,,0,10,
2,10,1,-1,small,False,19.75,2,No,18.58,,0,10,
2,11,1,-1,large,True,11.5,7,No,12.52,,0,10,
2,11,2,-1,small,False,12.5,3,No,12.52,,0,10,
2,12,1,-1,large,True,16.25,3,No,18.63,,0,10,
2,12,2,-1,small,False,50,1,Yes,18.63,14.25,4.38,10,
2,13,1,-1,large,True,8.5,8,No,9.71,,0,10,
