Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
4,6,1,-1,large,True,3.25,10,No,3.43,,0,10,
4,6,2,-1,small,False,10.75,4,No,3.43,,0,10,
4,7,1,-1,large,True,17.25,6,No,17.36,,0,10,
4,7,1,-1,small,False,50,1,Yes,17.36,29.25,-11.89,10,
4,8,1,-1,large,True,14.5,7,No,7.06,,0,10,
4,8,2,-1,small,False,12.75,3,No,7.06,,0,10,
4,9,-1,1,large,True,,,No,0,,0,-16.42,
4,9,-1,2,small,False,,,No,0,,0,-16.42,
4,10,1,-1,large,True,18,5,No,16.1,,0,10,
4,10,2,-1,small,False,50,1,Yes,16.1,17.25,-1.15,10,
4,11,-1,1,large,True,,,No,0,,0,-2.15,
4,11,-1,2,small,False,,,No,0,,0,-2.15,
4,12,-1,1,large,True,,,No,0,,0,-9.52,
4,12,-1,2,small,False,,,No,0,,0,-9.52,
4,13,1,-1,large,True,20,3,No,22.19,,0,10,
4,13,1,-1,small,False,29.25,2,No,22.19,,0,10,
4,14,1,-1,large,True,10.5,9,No,10.08,,0,10,
4,14,2,-1,small,False,17.25,2,No,10.08,,0,10,
5,1,1,-1,large,False,26.25,2,No,27.62,,0,10,
5,1,2,-1,small,True,27.25,3,No,27.62,,0,10,
5,2,1,-1,large,False,18.75,5,No,5.58,,0,4.99,
5,2,1,-1,small,True,26.5,2,No,5.58,,0,4.99,
5,3,1,-1,large,False,14.25,8,No,7.62,,0,6.56,
5,3,2,-1,small,True,12,4,No,7.62,,0,6.56,
5,4,-1,1,large,False,,,No,0,,0,-5.95,
5,4,-1,2,small,True,,,No,0,,0,-5.95,
5,5,-1,1,large,False,,,No,0,,0,-2.84,
5,5,-1,2,small,True,,,No,0,,0,-2.84,
5,6,1,-1,large,False,14.25,7,No,14.14,,0,-2.36,
5,6,1,-1,small,True,50,1,Yes,14.14,26.5,-12.36,-2.36,
5,7,1,-1,large,False,14.25,6,No,5.64,,0,10,
5,7,1,-1,small,True,19.25,5,No,5.64,,0,10,
5,8,1,-1,large,False,24.25,3,No,17.62,,0,-18.63,
5,8,2,-1,small,True,50,1,Yes,17.62,46.25,-28.63,-18.63,
5,9,-1,1,large,False,,,No,0,,0,-16.42,
5,9,-1,2,small,True,,,No,0,,0,-16.42,
5,10,1,-1,large,False,23.75,4,No,25.51,,0,10,
5,10,2,-1,small,True,46.25,2,No,25.51,,0,10,
5,11,-1,1,large,False,,,No,0,,0,-2.15,
5,11,-1,2,small,True,,,No,0,,0,-2.15,
5,12,-1,1,large,False,,,No,0,,0,-9.52,
5,12,-1,2,small,True,,,No,0,,0,-9.52,
5,13,1,-1,large,False,50,1,Yes,24.54,26.25,-1.71,10,
5,13,1,-1,small,True,23.5,3,No,24.54,,0,10,
5,14,1,-1,large,False,13,9,No,14.68,,0,10,
5,14,1,-1,small,True,23.5,4,No,14.68,,0,10,
