Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
1,1,2,-1,large,False,15.75,3,No,13.33,,0,10,
1,1,3,-1,small,True,14.5,3,No,13.33,,0,10,
1,2,1,-1,large,False,24.25,4,No,24.32,,0,10,
1,2,2,-1,small,True,27.75,3,No,24.32,,0,10,
1,3,1,-1,large,False,17.5,6,No,12.37,,0,10,
1,3,2,-1,small,True,24.5,4,No,12.37,,0,10,
1,4,2,-1,large,False,11.5,4,No,7.05,,0,-5.95,
1,4,3,-1,small,True,50,1,Yes,7.05,23,-15.95,-5.95,
1,5,1,-1,large,False,22.75,5,No,25.3,,0,10,
1,5,2,-1,small,True,39.75,2,No,25.3,,0,10,
1,6,1,-1,large,False,26.5,3,No,7.05,,0,10,
1,6,2,-1,small,True,7.75,5,No,7.05,,0,10,
1,7,1,-1,large,False,27.25,2,No,24.58,,0,10,
1,7,1,-1,small,True,22.5,2,No,24.58,,0,10,
1,8,2,-1,large,False,24.5,2,No,12.37,,0,10,
1,8,3,-1,small,True,11.75,4,No,12.37,,0,10,
1,9,1,-1,large,False,14.75,7,No,13.33,,0,-16.42,
1,9,2,-1,small,True,50,1,Yes,13.33,39.75,-26.42,-16.42,
1,10,1,-1,large,False,12.25,8,No,11.63,,0,10,
1,10,1,-1,small,True,11.25,4,No,11.63,,0,10,
1,11,2,-1,large,False,50,1,Yes,25.3,24.5,0.800000000000001,10,
1,11,3,-1,small,True,23,2,No,25.3,,0,10,
1,12,1,-1,large,False,6.75,9,No,2.98,,0,-9.52,
1,12,1,-1,small,True,50,1,Yes,2.98,22.5,-19.52,-9.52,
1,13,1,-1,large,False,4.75,10,No,5.78,,0,10,
1,13,1,-1,small,True,11,5,No,5.78,,0,10,
1,14,1,-1,large,False,50,1,Yes,16.55,27.25,-10.7,10,
1,14,1,-1,small,True,19.5,3,No,16.55,,0,10,
2,1,1,-1,large,False,18.5,7,No,18.58,,0,10,
2,1,1,-1,small,True,20,3,No,18.58,,0,10,
2,2,1,-1,large,False,50,1,Yes,15.24,34,-18.76,4.99,
2,2,2,-1,small,True,50,1,Yes,15.24,20.25,-5.01,4.99,
2,3,1,-1,large,False,33.75,4,No,9.71,,0,10,
2,3,1,-1,small,True,12,5,No,9.71,,0,10,
2,4,-1,1,large,False,,,No,0,,0,-5.95,
2,4,-1,2,small,True,,,No,0,,0,-5.95,
2,5,1,-1,large,False,17.25,9,No,12.86,,0,10,
2,5,2,-1,small,True,11.5,5,No,12.86,,0,10,
2,6,-1,1,large,False,,,No,0,,0,10,
2,6,-1,2,small,True,,,No,0,,0,10,
2,7,1,-1,large,False,34,3,No,16.34,,0,10,
2,7,1,-1,small,True,17.5,4,No,16.34,,0,10,
2,8,1,-1,large,False,29.5,6,No,28.27,,0,10,
2,8,1,-1,small,True,29.25,2,No,28.27,,0,10,
2,9,-1,1,large,False,,,No,0,,0,-16.42,
2,9,-1,2,small,True,,,No,0,,0,-16.42,
2,10,1,-1,large,False,9.75,10,No,7.46,,0,10,
2,10,2,-1,small,True,14.75,4,No,7.46,,0,10,
2,11,1,-1,large,False,34,2,No,17.1,,0,-2.15,
2,11,1,-1,small,True,50,1,Yes,17.1,29.25,-12.15,-2.15,
2,12,-1,1,large,False,,,No,0,,0,-9.52,
2,12,-1,2,small,True,,,No,0,,0,-9.52,
2,13,1,-1,large,False,31.75,5,No,18.63,,0,10,
2,13,2,-1,small,True,19,3,No,18.63,,0,10,
2,14,1,-1,large,False,18,8,No,12.52,,0,10,
2,14,2,-1,small,True,20.25,2,No,12.52,,0,10,
3,1,1,-1,large,True,21.75,4,No,21.64,,0,10,
3,1,1,-1,small,False,22.25,2,No,21.64,,0,10,
3,2,1,-1,large,True,25.25,3,No,12.28,,0,4.99,
3,2,2,-1,small,False,12.5,4,No,12.28,,0,4.99,
3,3,1,-1,large,True,50,1,Yes,25.81,29.25,-3.44,6.56,
3,3,1,-1,small,False,50,1,Yes,25.81,22.25,3.56,6.56,
3,4,-1,1,large,True,,,No,0,,0,-5.95,
3,4,-1,2,small,False,,,No,0,,0,-5.95,
3,5,1,-1,large,True,9,9,No,6.4,,0,10,
3,5,2,-1,small,False,50,1,Yes,6.4,30,-23.6,10,
3,6,1,-1,large,True,16.25,7,No,17.95,,0,10,
3,6,2,-1,small,False,25.5,3,No,17.95,,0,10,
3,7,1,-1,large,True,14.75,8,No,10.94,,0,10,
3,7,1,-1,small,False,9,5,No,10.94,,0,10,
3,8,1,-1,large,True,1.25,10,No,2.48,,0,10,
3,8,1,-1,small,False,17,4,No,2.48,,0,10,
3,9,-1,1,large,True,,,No,0,,0,-16.42,
3,9,-1,2,small,False,,,No,0,,0,-16.42,
3,10,1,-1,large,True,29.25,2,No,25.07,,0,10,
3,10,2,-1,small,False,30,2,No,25.07,,0,10,
3,11,-1,1,large,True,,,No,0,,0,-2.15,
3,11,-1,2,small,False,,,No,0,,0,-2.15,
3,12,-1,1,large,True,,,No,0,,0,-9.52,
3,12,-1,2,small,False,,,No,0,,0,-9.52,
3,13,1,-1,large,True,19.75,5,No,5.24,,0,10,
3,13,2,-1,small,False,12,5,No,5.24,,0,10,
3,14,1,-1,large,True,17.25,6,No,0.27,,0,10,
3,14,1,-1,small,False,19,3,No,0.27,,0,10,
4,1,1,-1,large,True,13.75,8,No,0.28,,0,10,
4,1,2,-1,small,False,2.5,5,No,0.28,,0,10,
4,2,1,-1,large,True,23.25,2,No,16.83,,0,4.99,
4,2,1,-1,small,False,24.5,4,No,16.83,,0,4.99,
4,3,1,-1,large,True,18.5,4,No,19.1,,0,6.56,
4,3,1,-1,small,False,25.25,3,No,19.1,,0,6.56,
4,4,-1,1,large,True,,,No,0,,0,-5.95,
4,4,-1,2,small,False,,,No,0,,0,-5.95,
4,5,1,-1,large,True,50,1,Yes,10.41,23.25,-12.84,-2.84,
4,5,1,-1,small,False,14.25,5,No,10.41,,0,-2.84,
